node_id,elevation_m
n1118732540,259.0
n11187346928,67.0
n11209695200,45.0
n11209695203,25.0
n11209921873,47.0
n11219439286,769.0
n11219439302,770.0
n11240835978,41.0
n11258626192,67.0
n11267250378,642.0
n1131436822,87.0
n1132259624,46.0
n1132259670,54.0
n1132259743,52.0
n1132259798,50.0
n1132259819,46.0
n1132310026,113.0
n1132310042,84.0
n1132310055,89.0
n1132310563,93.0
n1132310570,113.0
n1132321938,111.0
n1132322488,118.0
n1132346982,109.0
n1132376135,248.0
n1132376303,189.0
n1132376446,226.0
n1132376475,162.0
n1132376482,203.0
n1132376484,246.0
n1132376793,240.0
n1132377210,236.0
n1132377575,79.0
n1132378037,204.0
n1132378633,251.0
n1132379103,145.0
n1132413484,80.0
n1132413540,71.0
n1132413550,73.0
n1132413584,49.0
n1132413679,46.0
n1132413760,72.0
n1132413773,47.0
n1132413980,80.0
n1132414018,49.0
n1133013607,84.0
n1133013618,85.0
n1133013855,86.0
n11332450380,48.0
n1133639868,49.0
n1133639875,113.0
n1133640064,109.0
n1133640104,110.0
n1133640141,45.0
n1133640550,110.0
n1133640592,39.0
n1133672628,69.0
n1133672936,63.0
n1133695009,151.0
n1133695888,139.0
n11345580667,72.0
n11357444667,81.0
n11357607107,44.0
n11508722833,33.0
n11510712718,81.0
n11511548232,678.0
n11515932609,846.0
n11601635471,32.0
n11601635472,32.0
n11601646224,160.0
n11601646256,138.0
n11634841520,73.0
n1165274315,72.0
n1165274367,76.0
n11665421808,40.0
n11665421894,34.0
n11717021281,3895.0
n11717021298,4016.0
n11764392028,20.0
n11764392058,20.0
n11764392064,19.0
n11765014004,50.0
n11809768200,46.0
n11809810081,45.0
n11809854207,44.0
n11809854219,41.0
n11825693990,48.0
n11829398739,187.0
n11831908535,163.0
n11845352299,50.0
n11845352312,50.0
n11845395712,53.0
n11851453958,60.0
n11851455153,61.0
n1185176909,409.0
n1185176969,448.0
n1185178063,361.0
n11870034547,56.0
n11870079664,64.0
n11870079665,63.0
n11871412310,49.0
n11887138344,61.0
n11902051012,45.0
n11917706361,65.0
n11920760339,51.0
n11926973525,46.0
n11926973527,47.0
n11926973545,59.0
n11926973561,54.0
n11926976110,57.0
n11926976685,55.0
n11927115270,71.0
n11931554258,62.0
n11935315896,68.0
n11982693536,53.0
n11982707862,50.0
n12035912363,62.0
n12035912470,68.0
n12042507706,53.0
n12051472955,76.0
n12066034887,55.0
n12066034908,55.0
n12072966690,57.0
n12083846937,148.0
n12083857079,148.0
n12084959797,110.0
n12084998550,85.0
n12086064850,139.0
n12086070092,134.0
n12086238930,154.0
n12086690139,64.0
n12089656745,132.0
n12090190084,94.0
n12090190090,100.0
n12090190092,93.0
n12090192261,80.0
n12090677122,93.0
n12091039166,68.0
n12091082694,65.0
n12091833832,92.0
n12095105668,71.0
n12097804860,112.0
n12097814911,99.0
n12101473848,106.0
n12102204594,151.0
n12102220244,154.0
n12102220275,145.0
n12102224708,153.0
n12102224718,151.0
n12104042598,34.0
n1210734360,94.0
n12118121182,95.0
n12128291383,90.0
n12128302701,88.0
n12128302717,90.0
n12128327487,106.0
n12133486634,137.0
n12133486640,140.0
n12144936298,108.0
n12144952913,107.0
n12144953505,111.0
n12148183321,112.0
n12150302845,69.0
n12151055816,31.0
n12156186810,72.0
n12162651114,13.0
n12162651135,15.0
n12168558903,74.0
n12168590761,74.0
n12168637865,140.0
n12168645142,177.0
n12168645556,170.0
n12168646101,135.0
n12178545755,76.0
n12188885953,695.0
n12193152862,31.0
n12193152869,37.0
n12195743656,1315.0
n12195811774,1211.0
n12198712182,86.0
n12202303594,19.0
n12216993186,75.0
n12222989996,17.0
n12223051904,16.0
n12247857903,25.0
n12269691195,43.0
n12269696748,60.0
n12269700074,58.0
n12269700094,54.0
n12269716944,51.0
n12269716950,49.0
n12269717037,37.0
n12296248629,1367.0
n12296248636,1359.0
n12296272662,730.0
n12299451329,62.0
n12299451330,56.0
n12299451335,62.0
n12302763205,22.0
n12308500558,43.0
n12323398497,966.0
n12323398605,1137.0
n12328420095,14.0
n12335661636,50.0
n12335666191,21.0
n12335670765,21.0
n12335671076,14.0
n12335680308,27.0
n12335680310,22.0
n12346997142,18.0
n12377117626,20.0
n12386967799,12.0
n12398775095,21.0
n12398783654,17.0
n12398784267,20.0
n12398800971,27.0
n12398805010,17.0
n12398816121,18.0
n12398876999,97.0
n12398911818,101.0
n12398949452,98.0
n12423408702,17.0
n12434556965,58.0
n12451734982,28.0
n12451844913,19.0
n12458835060,79.0
n12458835061,77.0
n12458835876,95.0
n12466572286,117.0
n12466572632,123.0
n12466572652,133.0
n12466591367,108.0
n12466597220,106.0
n12466597264,99.0
n12466597346,91.0
n12481628212,811.0
n12496296489,36.0
n12497721265,178.0
n12497721349,176.0
n12497721406,246.0
n12503857426,54.0
n12519988985,31.0
n12519988986,30.0
n12520286039,87.0
n12520286271,89.0
n12522839890,180.0
n12522842607,176.0
n12522904745,157.0
n12522908719,159.0
n12522908720,167.0
n12522908951,159.0
n12522923327,275.0
n12526512333,31.0
n12527860812,373.0
n12538569032,92.0
n12538569048,77.0
n12538569083,80.0
n12538569091,85.0
n12538569092,84.0
n12538578760,86.0
n12538578779,82.0
n12538578822,85.0
n12538578828,86.0
n12538608327,97.0
n12538608359,101.0
n12538608361,99.0
n12538608393,96.0
n12538608508,98.0
n12538608522,109.0
n12538641283,128.0
n12538682818,126.0
n12538682833,112.0
n12538979455,84.0
n12538979458,77.0
n12590289887,35.0
n12590289896,43.0
n12590289899,46.0
n12590293904,35.0
n12590293951,38.0
n12590294098,47.0
n12593445472,12.0
n12615579260,34.0
n12615579264,35.0
n12615630656,42.0
n1262013870,148.0
n1262084378,62.0
n1262084701,163.0
n1262084753,37.0
n1262084922,13.0
n1262084969,63.0
n1262085016,35.0
n1262085031,33.0
n1262085079,232.0
n1262085124,68.0
n1262085154,32.0
n1262085269,49.0
n1262085299,36.0
n1262085303,39.0
n12682293648,97.0
n12702202444,88.0
n12708095503,30.0
n12709048517,29.0
n12709048522,28.0
n12709048529,39.0
n1274292906,65.0
n12776237385,66.0
n12776237488,71.0
n12776237489,69.0
n12776237592,69.0
n12776237695,65.0
n12776237798,65.0
n12784879794,156.0
n12786069631,72.0
n12787421551,774.0
n12828592232,463.0
n12853494958,68.0
n12862260950,121.0
n12886678648,72.0
n12923502847,82.0
n12925429809,33.0
n1296526044,731.0
n1296578971,1008.0
n1296578977,272.0
n1296578981,204.0
n1296578988,307.0
n1296579040,193.0
n1296579094,183.0
n1296579130,214.0
n1296579156,293.0
n1296579337,188.0
n1296579624,199.0
n1296579735,188.0
n1296596611,143.0
n1296596616,149.0
n1296646659,17.0
n1296646810,17.0
n1296647009,26.0
n1296647052,21.0
n1296647104,18.0
n1296647367,28.0
n1296647826,10.0
n1296647863,11.0
n1299581254,280.0
n1299581255,169.0
n1299581256,8.0
n1299581257,213.0
n1299581260,54.0
n1299581316,100.0
n1299581376,19.0
n1299590364,66.0
n13002309297,76.0
n13119221945,142.0
n1313341143,48.0
n1313341215,51.0
n1313341314,49.0
n1313341337,56.0
n1313341345,50.0
n1313341354,51.0
n1313341693,49.0
n1313341720,48.0
n1313341850,52.0
n1313341864,53.0
n1313342221,59.0
n1313342222,58.0
n1313342838,60.0
n1313342908,60.0
n1313342998,60.0
n1313343204,65.0
n1313343219,59.0
n1313343221,59.0
n1313343280,68.0
n1313343282,61.0
n1313343290,62.0
n1313343361,68.0
n1313388957,63.0
n1313388981,59.0
n1313388993,59.0
n1313389013,66.0
n1313389015,69.0
n1313389025,70.0
n1313389031,72.0
n1313389033,72.0
n1313389047,68.0
n1313389180,68.0
n1313389184,69.0
n1313389243,69.0
n1313389384,70.0
n1313389707,75.0
n1313568663,94.0
n1313568683,95.0
n1313568706,99.0
n1313568860,105.0
n1313569011,99.0
n1313569066,102.0
n1313569273,101.0
n1313569368,99.0
n1313569445,103.0
n1313569495,103.0
n1313569507,101.0
n1313569513,99.0
n1313569652,105.0
n1313569694,108.0
n1313569788,107.0
n1313569868,106.0
n1313569900,106.0
n1313569905,106.0
n1313569919,108.0
n1313570087,108.0
n1313570156,106.0
n1313570158,101.0
n1313570212,106.0
n1313570228,107.0
n1313570263,106.0
n1313570270,107.0
n1313571066,108.0
n1313571184,109.0
n1313571185,108.0
n1313571201,109.0
n1313571277,109.0
n1313571285,111.0
n1313571292,111.0
n1313571409,110.0
n1313571518,113.0
n1313598160,113.0
n1313598282,112.0
n1314431804,679.0
n1314432919,927.0
n1314562098,131.0
n1314633577,175.0
n1314633589,178.0
n1315232055,119.0
n1315232068,117.0
n1315232229,142.0
n1315233404,124.0
n1315233598,129.0
n1315234259,133.0
n1315306215,109.0
n1315306356,118.0
n1315462753,122.0
n1315463447,125.0
n1315478169,116.0
n1315478249,118.0
n1315478973,121.0
n1315479485,121.0
n1315479819,123.0
n1315479820,127.0
n1315480175,121.0
n1315563762,127.0
n1315563843,127.0
n1315564155,131.0
n1315564180,131.0
n1315564198,124.0
n1315564200,123.0
n1315564242,126.0
n1315564272,135.0
n1315564343,135.0
n1315564481,142.0
n13190470287,98.0
n1323668557,136.0
n1323790772,105.0
n1323791747,126.0
n1323791775,128.0
n1324087231,102.0
n1324185512,103.0
n1324370307,160.0
n1324370340,164.0
n1324370369,161.0
n1325725742,116.0
n1329752313,265.0
n1329752575,290.0
n1329753265,645.0
n1329753295,546.0
n1329753316,548.0
n1329754174,805.0
n1329754933,385.0
n1329755394,358.0
n1329755609,355.0
n1329755858,331.0
n1329755928,361.0
n1329755950,352.0
n1329756251,366.0
n1329756252,346.0
n1329757554,345.0
n1329757610,331.0
n1329758386,343.0
n1329758859,65.0
n1329758863,84.0
n1329758945,65.0
n1329759680,53.0
n1329767694,64.0
n1329767721,60.0
n13301574171,163.0
n13304383329,140.0
n13304383347,139.0
n13304383352,140.0
n13304544410,31.0
n13304544412,30.0
n13310753697,39.0
n13321533927,24.0
n13382943608,78.0
n13382943613,79.0
n13382969841,99.0
n13382969859,96.0
n1340875555,428.0
n1344230878,576.0
n1344231055,1447.0
n1344231363,284.0
n1344373928,1591.0
n13449554481,119.0
n13449566351,117.0
n13449593998,108.0
n13449985848,119.0
n1345435418,310.0
n1345435465,291.0
n1345697438,87.0
n1345697449,89.0
n1345697453,81.0
n1345697473,78.0
n1345697483,83.0
n1345697491,65.0
n1345697493,80.0
n1345697529,89.0
n1345697552,81.0
n1345697585,84.0
n1345697589,98.0
n1345697591,86.0
n1345697594,79.0
n1345697599,64.0
n1345697602,71.0
n1345697613,74.0
n1345697619,70.0
n1345697621,69.0
n1345697632,83.0
n1345697697,135.0
n1345697728,69.0
n1345697730,112.0
n1345697756,89.0
n1345697812,99.0
n1345697825,81.0
n1345697855,68.0
n1345697884,83.0
n1345698043,82.0
n1345698162,78.0
n1345698311,81.0
n1345698373,97.0
n1345698610,60.0
n1345698762,127.0
n1345698832,137.0
n1345698980,78.0
n1345699105,69.0
n1345699165,63.0
n1345733537,109.0
n1345733540,83.0
n1345733542,80.0
n1345733543,80.0
n1345733544,78.0
n1345733551,81.0
n1345733565,81.0
n1345733613,78.0
n1345733698,105.0
n1346380525,55.0
n1346380533,54.0
n1346380535,57.0
n1346388174,46.0
n1346388187,51.0
n1346388199,46.0
n1346388224,49.0
n1346388226,52.0
n1346388230,43.0
n1346388251,53.0
n1346388268,53.0
n1346388429,46.0
n1346388581,48.0
n1346388588,49.0
n1346388627,45.0
n1346388655,42.0
n1346388743,51.0
n1346388764,47.0
n1346388794,48.0
n1346434725,45.0
n1346434743,49.0
n1346434759,56.0
n1346434772,45.0
n1346434778,46.0
n1346434819,56.0
n1346434820,57.0
n1346434831,53.0
n1346434848,53.0
n1346434890,48.0
n1346434898,57.0
n1346434911,48.0
n1346434917,51.0
n1346434968,56.0
n1346434970,47.0
n1346434991,47.0
n1346435008,45.0
n1346435031,50.0
n1346435032,49.0
n1346435040,54.0
n1346435068,48.0
n1346435125,54.0
n1346435134,47.0
n1346435237,48.0
n13465490135,162.0
n13465499314,168.0
n1347032648,45.0
n1347032651,48.0
n1347032657,47.0
n1347032802,43.0
n1347032919,50.0
n1347032958,48.0
n1347033094,47.0
n1347033323,51.0
n1347033903,41.0
n1347057443,51.0
n1347080859,58.0
n1347487112,59.0
n1347487114,50.0
n1347487174,110.0
n1347487244,59.0
n1347487261,81.0
n1347487264,51.0
n1347487316,119.0
n1347487420,72.0
n1347487421,80.0
n1347487463,78.0
n1347487501,105.0
n1347487512,59.0
n1347487530,76.0
n1347487533,49.0
n1347487570,152.0
n1347487660,42.0
n1347487691,105.0
n1347487698,105.0
n1347487718,118.0
n1347487743,106.0
n1347487794,59.0
n1347487958,82.0
n13475750270,177.0
n1347704620,118.0
n1347704633,175.0
n1347704713,145.0
n1347704729,136.0
n1347704731,59.0
n1347704763,55.0
n1347704779,119.0
n1347704800,189.0
n1347704812,151.0
n1347704817,102.0
n1347704845,48.0
n1347704860,169.0
n1347704884,174.0
n1347704900,187.0
n1347704902,118.0
n1347750860,47.0
n1347750879,51.0
n1347750931,56.0
n1347751300,80.0
n1347751405,102.0
n1347779392,51.0
n1347779394,54.0
n1348237413,426.0
n1348237428,996.0
n1348237444,625.0
n1348237595,222.0
n1348237707,423.0
n1349065754,47.0
n1349065775,42.0
n1349065783,45.0
n1349065791,47.0
n1349065816,45.0
n1349065842,43.0
n1349065868,49.0
n1349065870,46.0
n1349065873,47.0
n1349065957,45.0
n1349065959,47.0
n1349065986,45.0
n1349065995,46.0
n1349065998,49.0
n1349066030,45.0
n1349066140,47.0
n1349066151,47.0
n1349326123,43.0
n1349326134,49.0
n1349326150,79.0
n1349326197,46.0
n1349326206,52.0
n1349326232,55.0
n1349326258,50.0
n1349326293,74.0
n1349326296,56.0
n1349326300,46.0
n1349326312,72.0
n1349326314,45.0
n1349326329,57.0
n1349326376,77.0
n1349326387,47.0
n1349326392,54.0
n1349326409,42.0
n1349326438,45.0
n1349326564,45.0
n1349326618,46.0
n1349326658,46.0
n1349326666,46.0
n1349326708,45.0
n1349326790,44.0
n1349326794,44.0
n1349349595,45.0
n13502805292,23.0
n13502805318,26.0
n13503241973,170.0
n13503257412,104.0
n1351480860,73.0
n1351480932,63.0
n1351480961,79.0
n1351659972,49.0
n1351659975,51.0
n1351660075,65.0
n1351660134,49.0
n1351700373,71.0
n13525786506,838.0
n13527809952,170.0
n13527847053,113.0
n13529038792,109.0
n13529053205,113.0
n13532754898,25.0
n13532754911,30.0
n13532754975,27.0
n13532754980,27.0
n13532754982,25.0
n13532754992,29.0
n1354934695,38.0
n1354934707,40.0
n1354934729,39.0
n1354934773,40.0
n1354982536,38.0
n1355287542,49.0
n1355287594,47.0
n1355287719,54.0
n1355287756,46.0
n1355288038,52.0
n1355288215,52.0
n1355288356,52.0
n1355288432,49.0
n1355288575,48.0
n1355288596,47.0
n1355288689,51.0
n1355288819,47.0
n13552964533,65.0
n1355673956,51.0
n1355673979,40.0
n1355674021,58.0
n1355674023,38.0
n1355674040,48.0
n1355674079,47.0
n1355674113,59.0
n1355674130,56.0
n1355674134,56.0
n1355674180,54.0
n1355674246,55.0
n1355674266,51.0
n1355674324,51.0
n1355674341,53.0
n1355674484,52.0
n1355674512,51.0
n1355674606,52.0
n1355674645,58.0
n1355674674,47.0
n1355674749,42.0
n1355674787,60.0
n1355674909,52.0
n1356726182,179.0
n1356726436,189.0
n1359194785,59.0
n1359840552,81.0
n1359960829,75.0
n1359960831,74.0
n1359960839,71.0
n1359960842,75.0
n1359960849,70.0
n1359960858,83.0
n1359960874,69.0
n1359960887,80.0
n1359960894,75.0
n1359960905,75.0
n1359960908,84.0
n1359960919,73.0
n1359960920,79.0
n1359960931,79.0
n1359960944,75.0
n1359960948,72.0
n1359960955,76.0
n1359960956,70.0
n1359960968,79.0
n1359960996,78.0
n1359961048,77.0
n1359961074,79.0
n1359961099,69.0
n1359961106,69.0
n1359961163,76.0
n1359961176,72.0
n1359961181,75.0
n1359961215,77.0
n1359961260,71.0
n1359961281,82.0
n1359961283,83.0
n1359961345,80.0
n1359961362,75.0
n1359961402,79.0
n1359961472,87.0
n1359961486,78.0
n1359961545,82.0
n1359961574,84.0
n13605176372,125.0
n1364340219,56.0
n1364340436,55.0
n1364534620,62.0
n1364588635,55.0
n1364608047,77.0
n1364843574,41.0
n1364843641,41.0
n1364843657,37.0
n13703617340,103.0
n13703617350,100.0
n13737355467,114.0
n13780340168,135.0
n13785414965,108.0
n13785414968,101.0
n1380068429,56.0
n1380068473,53.0
n1380069193,51.0
n1380069516,50.0
n1380069525,51.0
n1380069734,52.0
n1380567765,111.0
n1380567808,104.0
n1380567851,139.0
n1380567916,103.0
n1380568068,109.0
n1380568123,113.0
n1380568144,105.0
n1380568577,114.0
n1380569139,99.0
n1380569253,111.0
n1380569336,110.0
n1380569818,101.0
n13831284781,66.0
n13831324822,65.0
n1403967946,49.0
n1404298037,274.0
n1404298038,266.0
n1412091730,30.0
n1412092843,86.0
n1412092858,92.0
n1412092943,94.0
n1425144163,780.0
n1425144171,782.0
n1425144183,774.0
n1425144196,774.0
n1425144199,771.0
n1425144202,772.0
n1425144212,771.0
n1425144213,773.0
n1428989853,1993.0
n1428989928,1916.0
n1429300117,102.0
n1429300319,115.0
n1431033878,26.0
n1431033931,17.0
n1431033963,7.0
n1431033972,6.0
n1431034000,13.0
n1431034045,33.0
n1431034252,10.0
n1431034264,10.0
n1431067708,2441.0
n1431589497,193.0
n1431862376,1310.0
n1431862651,1362.0
n1431863146,1397.0
n1431909487,821.0
n1434424680,101.0
n1434424754,91.0
n1435009101,43.0
n1435009173,47.0
n1435201618,47.0
n1435201689,46.0
n1435201982,48.0
n1435225985,128.0
n1435440729,92.0
n1435440730,92.0
n1435440731,104.0
n1435440734,143.0
n1435959078,46.0
n1437215876,98.0
n1437215877,98.0
n1437215901,100.0
n1437215902,101.0
n1437215913,108.0
n1437215915,110.0
n1437215919,110.0
n1437215961,672.0
n1437216069,777.0
n1439258659,43.0
n1439258681,44.0
n1439258718,40.0
n1439610572,41.0
n1444166173,40.0
n1444166468,43.0
n1445002220,55.0
n1445002378,50.0
n1445002386,51.0
n1449640961,14.0
n1449670766,12.0
n1449670767,15.0
n1449670779,63.0
n1463090112,171.0
n1463090962,2091.0
n1463091034,2426.0
n1463091791,1533.0
n1463091929,1626.0
n1463092405,4289.0
n1463108596,108.0
n1463108602,102.0
n1464962513,66.0
n1465121719,47.0
n1465123449,73.0
n1465486306,43.0
n1465486574,45.0
n1465486624,50.0
n1465486628,44.0
n1472728728,31.0
n1472728768,40.0
n1472750636,59.0
n1472750943,25.0
n1472751017,31.0
n1472751040,26.0
n1477920637,50.0
n1477924176,800.0
n1477987346,247.0
n1477987372,1133.0
n1495287202,81.0
n1495287280,79.0
n1495316539,80.0
n1495329090,104.0
n1495483855,70.0
n1495483883,69.0
n1495483960,93.0
n1495483966,93.0
n1516327700,75.0
n1516327707,73.0
n1516327775,69.0
n1516327959,58.0
n1516327969,37.0
n1516328028,43.0
n1516328083,34.0
n1516328089,33.0
n1516328137,29.0
n1516328184,28.0
n1516328259,28.0
n1516328312,27.0
n1516328372,49.0
n1516328374,35.0
n1516328423,57.0
n1516328730,86.0
n1596351004,86.0
n1596351205,131.0
n1596351214,134.0
n1597255880,134.0
n1600752135,53.0
n1600752191,51.0
n1600752203,53.0
n1600752205,58.0
n1600752221,51.0
n1600752229,57.0
n1600752242,51.0
n1600752246,59.0
n1621474344,37.0
n1621474935,20.0
n1621474982,27.0
n1621475016,34.0
n1621475034,37.0
n1636922907,106.0
n1636923314,106.0
n1636923401,105.0
n1636924162,103.0
n1637031405,100.0
n1637031413,100.0
n1668477042,58.0
n1668477077,60.0
n1668477290,61.0
n1668477348,64.0
n1668496569,95.0
n1668496628,91.0
n1668496631,93.0
n1668496656,88.0
n1668496707,94.0
n1676604080,104.0
n1676604082,114.0
n1676604100,106.0
n1676622864,98.0
n1676622885,105.0
n1676622886,111.0
n1676938852,103.0
n1676939136,102.0
n1676939158,98.0
n1676939159,100.0
n1676939173,93.0
n1676939194,102.0
n1676970400,43.0
n1683315334,3179.0
n1683573369,1370.0
n1683573506,398.0
n1684106403,170.0
n1684106404,169.0
n1692785965,80.0
n1692785971,82.0
n1692786012,79.0
n1692786080,83.0
n1692786083,82.0
n1692786097,82.0
n1692786121,81.0
n1692786211,96.0
n1692786226,96.0
n1692786240,98.0
n1692786572,141.0
n1696836896,162.0
n1696836975,203.0
n1696836977,150.0
n1696837000,145.0
n1698245595,59.0
n1698434453,1193.0
n1698434486,1316.0
n1698434919,1324.0
n1698434987,1386.0
n1698435007,1492.0
n1698435691,96.0
n1698436391,116.0
n1698495015,1459.0
n1698495020,1543.0
n1698495195,1465.0
n1698495570,1176.0
n1698495676,1174.0
n1698582202,118.0
n1698582219,98.0
n1699239730,124.0
n1699637232,126.0
n1699637408,137.0
n1699637756,232.0
n1699637784,256.0
n1699645709,270.0
n1699645721,471.0
n1699645760,441.0
n1699645897,336.0
n1699645904,451.0
n1699646033,325.0
n1699646074,348.0
n1699646078,347.0
n1699646085,378.0
n1699646087,366.0
n1699646090,364.0
n1699646091,366.0
n1699646110,463.0
n1699646116,437.0
n1699659398,130.0
n1699659419,135.0
n1699659448,138.0
n1699696547,569.0
n1699696549,584.0
n1699696647,571.0
n1699696660,615.0
n1699696778,608.0
n1699696876,374.0
n1699697363,485.0
n1699697415,461.0
n1699697418,418.0
n1699697453,422.0
n1699697456,431.0
n1699697520,461.0
n1699697583,463.0
n1699697625,435.0
n1702510907,101.0
n1702510940,112.0
n1702510995,124.0
n1702511055,169.0
n1702511062,130.0
n1722857685,784.0
n1722857700,827.0
n1722857719,840.0
n1722857757,864.0
n1722857778,885.0
n1722857858,903.0
n1728772614,72.0
n1728772801,203.0
n1728868472,43.0
n1739998750,148.0
n1740001996,140.0
n1740057032,137.0
n1740057047,139.0
n1740057054,133.0
n1740057072,133.0
n1740057091,126.0
n1740057131,187.0
n1760697279,14.0
n1786434754,34.0
n1786434974,19.0
n1786434999,33.0
n1786435145,25.0
n1786435260,24.0
n1795588301,67.0
n1795588535,70.0
n1795588545,72.0
n1795588575,77.0
n1795588579,74.0
n1795605123,930.0
n1795712097,782.0
n1795712119,1482.0
n1795712193,758.0
n1795712208,1350.0
n1795712455,1338.0
n1795712511,1107.0
n1795719080,806.0
n1802870485,144.0
n1802870518,157.0
n1805443376,25.0
n1805443427,30.0
n1805443435,24.0
n1810090653,69.0
n1810090705,74.0
n1810090721,78.0
n1810090732,77.0
n1810090769,76.0
n1810090791,82.0
n1810911389,72.0
n1810911396,68.0
n1810911451,79.0
n1810911577,62.0
n1810911611,77.0
n1810911949,83.0
n1810912056,81.0
n1810912274,88.0
n1810912357,89.0
n1811211110,1566.0
n1811212098,126.0
n1811241144,212.0
n1811241427,186.0
n1811241450,243.0
n1811241514,196.0
n1811241847,218.0
n1811241873,201.0
n1811322234,58.0
n1811322236,60.0
n1811322239,61.0
n1811322244,61.0
n1811322247,61.0
n1811322254,56.0
n1811322256,56.0
n1811322261,58.0
n1811322293,59.0
n1811322297,55.0
n1811322351,56.0
n1811322588,133.0
n1811387316,305.0
n1811387339,137.0
n1811387541,260.0
n1811461160,355.0
n1811461205,66.0
n1811461296,71.0
n1811461314,69.0
n1811461350,68.0
n1811461404,75.0
n1811463069,80.0
n1811463079,80.0
n1811463080,89.0
n1811463142,96.0
n1811463144,100.0
n1811463153,104.0
n1811463215,119.0
n1811463229,129.0
n1811463262,131.0
n1811534970,56.0
n1811534980,83.0
n1811535023,108.0
n1811535066,115.0
n1811698349,33.0
