node_id,name,kind,population,population_known
n2501001558,Mata,village,2273,1
n2501023508,Songtal,village,894,1
n2501957487,Samanda,village,0,0
n2501957629,Rongrengiri,village,0,0
n2511042546,Kupup,village,0,0
n2516678325,Āmteka,village,0,0
n2517721615,Tamulpur,town,0,0
n2519160722,Senu,village,0,0
n2519223712,Sibbari,village,0,0
n2519982799,Dulki,village,0,0
n2520369985,Kakraban,village,0,0
n2555555998,Tuichhama,village,0,0
n2579670796,Dinhata,town,0,0
n2595623022,Sessamukh,village,0,0
n2595623108,Kalitakuchi,village,0,0
n2632756349,Karigaon,village,0,0
n2659517518,Mahendraganj,village,0,0
n2666939999,Dispur,town,0,0
n2671616321,Belonia,town,19996,1
n2682279843,Mekuli,village,0,0
n2682288214,Chungtia,village,0,0
n2682774922,New Camp (Longjongkong),hamlet,0,0
n2682968461,Longnak,hamlet,0,0
n2682983901,Wati Yim,village,0,0
n2682984003,Longtho,village,0,0
n2715015195,Kinunger,village,0,0
n2717217350,Sungratsu,village,0,0
n2719435973,Mopungchuket,village,0,0
n2720225720,Akuluto,village,0,0
n2723985107,Pakyong,town,0,0
n2764200726,Sumer Village,village,0,0
n2774754102,Barapani,village,0,0
n2882121034,Thadlaskein,village,0,0
n2882121292,Mawryngkneng,village,0,0
n2883904490,Jagun,town,0,0
n2884021044,Baghmara,town,5000,1
n2884022742,Rewak,village,0,0
n2885003252,Sāpekhāti,hamlet,0,0
n2885039421,Dhanbīl,hamlet,0,0
n2885248532,Dakhinpat,village,0,0
n2885250941,Nari,village,0,0
n2914323246,Purum Chumbang,village,0,0
n2915034573,Tizit,town,0,0
n2915034650,Namsa,town,0,0
n2919179868,Sherathang,village,0,0
n2926094146,Lālābasti,hamlet,0,0
n2926094151,Mahaārājpur,hamlet,0,0
n2926094680,Chhota Kāpurchhara,hamlet,0,0
n2926095072,Rekha,hamlet,0,0
n2926096522,Kathiatoli,village,0,0
n2926096874,Dighali Ati,village,0,0
n2926097475,Mulankata,village,0,0
n2926154982,Jalah,village,0,0
n2926155032,Hajua,village,0,0
n2926323039,Bhaitbari,village,0,0
n2926323240,Srirampur,village,0,0
n2926581816,Chenga,village,0,0
n2967218994,Bara Hulung,village,0,0
n2967219009,Philobari,hamlet,0,0
n2967220343,Pengri Chārāli,hamlet,0,0
n2976469237,Hnahlan,village,0,0
n3007133833,Lumla,town,0,0
n3007271430,Gorsam,village,103,1
n3018172995,Bhalukpong,town,0,0
n3018173026,Tippi Town,suburb,0,0
n3092025659,Chapi Khithie,village,0,0
n3158879343,Dighāli,hamlet,0,0
n3158879810,Badripāra,hamlet,0,0
n3158885672,Barkhala,hamlet,0,0
n3158923546,Khoril,hamlet,0,0
n3158923588,Kharil Bagicha,hamlet,0,0
n3158923616,Dalu,village,0,0
n3158933756,Dudhpatli,hamlet,0,0
n3158934591,Gossaipur,hamlet,0,0
n3160185171,Irongmara,village,0,0
n3160185194,Dargākona,village,0,0
n3160185425,Silkuri,village,0,0
n3173460680,Phulbari,village,5000,1
n3173469643,Tikrikila,village,5000,1
n3173470227,Tikrikilla,town,0,0
n3173560387,Garampāni,hamlet,0,0
n3173560410,Phonglangso,hamlet,0,0
n3173566127,Khorungma,hamlet,0,0
n3173570147,Bāgha,hamlet,0,0
n3173573097,Amardisa,hamlet,0,0
n3173577191,Dihāngi,hamlet,0,0
n3173578975,Dishru Village,village,0,0
n3173657996,Zamuang,village,0,0
n3173660337,Kanhmun,hamlet,0,0
n3173670413,Jampuijala,village,0,0
n3173676986,Melaghar,town,20300,1
n3173704205,Mawsmai,hamlet,0,0
n3175911973,恰吐姆,hamlet,0,0
n3175912216,Tumrung,hamlet,0,0
n3175912311,Kambang,hamlet,0,0
n3175920440,Meer,hamlet,0,0
n3175964719,Tapaha,hamlet,0,0
n3175965095,Rukpu,village,0,0
n3176031335,托库,village,0,0
n3176043848,Kimin,town,0,0
n3176054713,Peri,hamlet,0,0
n3176054721,Kaying,town,0,0
n3176055376,Kamki,village,0,0
n3176058961,赛村,hamlet,0,0
n3176060815,Menying,hamlet,0,0
n3176072975,Mechuka,town,0,0
n3178199100,Boleng,town,0,0
n3178209387,里戛,village,0,0
n3178213064,Jengging,village,0,0
n3179552235,Rongli,town,0,0
n3179658554,Yangli,village,0,0
n3179711617,Sonari,town,0,0
n3179713537,Bhojo,hamlet,0,0
n3179713699,Bhojogaon,hamlet,0,0
n3179739570,Namphai 1,village,0,0
n3179739577,Lāklāpathār,hamlet,0,0
n3179739747,Kharsang,town,0,0
n3179739771,Nāmchik,hamlet,0,0
n3179739996,New Longkey,village,0,0
n3179740541,Lakla,village,0,0
n3179749350,Telikola,hamlet,0,0
n3309034382,Kachukata,village,0,0
n3345442064,Kharibari,village,0,0
n3393379510,Mon,town,0,0
n342098065,Oraog,village,0,0
n342099041,Yeksi,village,0,0
n342099620,Balipara,village,0,0
n3454068821,莫库新,village,0,0
n3454846720,Tenzingang,village,0,0
n3454892796,Samphung,hamlet,0,0
n3455075763,Kuwarpār,village,0,0
n3455076019,Pālanghāt,village,0,0
n3455076051,Kalyānpur,hamlet,0,0
n3455076087,Sachinpur,hamlet,0,0
n3455076125,Amrāghāt,hamlet,0,0
n3455076190,Gangānagar,hamlet,0,0
n3455076194,Rasunpur,hamlet,0,0
n3455076198,Matinagar,village,0,0
n3455076235,Harinabasti,hamlet,0,0
n3455080984,Kālāgrām,hamlet,0,0
n3455081300,Āmjurghāt,hamlet,0,0
n3455081322,Sonāimukh,village,0,0
n3455081335,Sonābārighāt,hamlet,0,0
n3455680160,若波朗钦,hamlet,0,0
n3462002941,Paite Veng,suburb,0,0
n3515195562,Sapatgram,town,0,0
n3515195826,Thakthakipara,village,0,0
