id,name,state,lat,lon,kind,population,population_known,has_market,has_coldstore
s4658376613,Hunung,,27.874129,96.945103,hamlet,0,0,0,0
s4658410619,Mithumna,,28.234678,96.535261,hamlet,0,0,0,0
s4658534707,Glotong,,28.205164,96.685033,hamlet,0,0,0,0
s4658564869,Hawai,,27.884389,96.812447,city,0,0,0,0
s4658586779,Kaho,,28.304317,97.024277,village,0,0,0,0
s4658586783,Krobma,,28.006387,96.598986,hamlet,73,1,0,0
s4658587428,Metengliang,,28.205314,96.532553,town,0,0,0,0
s4658587514,Krosam,,28.017764,96.583162,hamlet,52,1,0,0
s4694758311,Ligwa,,27.510773,93.124284,hamlet,0,0,0,0
s4694758323,Harinablam,,27.54293,93.119325,hamlet,0,0,0,0
s4694758435,Pipu Dipu,,27.557122,93.117951,village,0,0,0,0
s4694758437,Pabua,,27.415345,93.058771,hamlet,0,0,0,0
s4694758447,Bameng,,27.54352,92.948341,village,0,0,0,0
s4694758460,Waii,,27.596569,92.946419,village,0,0,0,0
s4694758616,Tabey,,27.612219,92.912226,hamlet,0,0,0,0
s4694759412,Tagang Wagang,,27.463578,93.11844,hamlet,0,0,0,0
s4694759431,Tabri,,27.518041,93.053793,hamlet,0,0,0,0
s4694759455,Jejudada,,27.431002,93.07892,village,0,0,0,0
s4694759707,Kapu Dada,,27.493832,93.06847,hamlet,0,0,0,0
s4694759783,Watay,,27.555372,93.169021,hamlet,0,0,0,0
s4694759889,Richi Langu,,27.458424,93.113339,hamlet,0,0,0,0
s4694767073,Nari Camp,,27.646343,93.077439,hamlet,0,0,0,0
s4694774512,Bengde,,27.661928,93.037936,hamlet,0,0,0,0
s4694774563,Margingia Camp,,27.631307,93.038987,hamlet,0,0,0,0
s4694774662,Jokhio,,27.653148,93.02828,hamlet,0,0,0,0
s4967349522,Ahunli,,28.834547,95.95972,village,0,0,0,0
s4967349523,Akolin,,28.823678,95.941685,village,0,0,0,0
s5021583941,Aloo Baari,,27.161256,92.464866,hamlet,0,0,0,0
s5021583942,Brokpublang,,27.184569,92.412038,hamlet,0,0,0,0
s5021583944,Khellong,,27.013385,92.414518,hamlet,3,1,0,0
s5021583947,Thungri,,27.167215,92.39403,village,0,0,0,0
s5170680159,Kalaktang,,27.106115,92.116398,village,0,0,0,0
s5187607448,Angrim Valley Village,,28.884282,95.978621,village,0,0,0,0
s5187607453,Aropo,,28.82309,95.939707,village,0,0,0,0
s5187607828,Brango,,28.94056,95.817392,village,127,1,0,0
s5187607829,Emoli,,28.887116,95.835657,village,0,0,0,0
s5228170550,Pasighat,,28.058968,95.332494,town,0,0,0,0
s5314369747,Sangti,,27.403574,92.276767,village,0,0,0,0
s5329822669,Dorjeeling,,28.601772,94.162755,village,0,0,0,0
s5338961886,Bolung,,28.030692,95.759196,village,0,0,0,0
s5409179577,Dungjee,,27.498966,92.009787,hamlet,0,0,0,0
s5409193593,Jangda,,27.594232,91.974238,village,0,0,0,0
s5409193745,Mukto,,27.54593,91.925351,village,0,0,0,0
s5409200233,Khet,,27.54201,91.865141,village,0,0,0,0
s5409330579,Bongkhar,,27.523366,91.794766,town,0,0,0,0
s5411236851,Kapak Leyak Docha,,27.530315,92.846449,hamlet,0,0,0,0
s5411239609,Myora,,27.534528,92.96429,hamlet,0,0,0,0
s5411239940,Milorang,,27.522635,92.955728,hamlet,0,0,0,0
s5411240009,Lengdi Liang,,27.537629,92.923885,hamlet,0,0,0,0
s5411250783,郎塔,,27.514053,93.019736,hamlet,0,0,0,0
s5411251101,Rikhyong,,27.501777,93.002506,hamlet,0,0,0,0
s5411251164,Tatang,,27.514871,92.977143,hamlet,0,0,0,0
s5411251241,Effa,,27.506878,92.908521,hamlet,0,0,0,0
s5411308780,Chelong,,27.438835,92.507564,hamlet,0,0,0,0
s5411308786,Wathow,,27.485598,92.542925,hamlet,0,0,0,0
s5432467619,Retung,,28.012601,93.220157,hamlet,0,0,0,0
s5432491138,Thungri,,27.447022,92.380056,hamlet,0,0,0,0
s5432491191,Lagam,,27.424102,92.38069,village,0,0,0,0
s5432491195,普东,,27.427121,92.318205,village,0,0,0,0
s5638386699,Yorlung,,28.67205,93.970458,hamlet,0,0,0,0
s5638388693,Acheso,,28.926377,95.97448,hamlet,31,1,0,0
s5797143746,Khimiyang,,27.013454,95.708229,village,0,0,0,0
s5880408167,Jang,,27.579966,91.983,town,0,0,0,0
s5935645932,Lower Jongji Havi,,26.964973,95.702718,village,0,0,0,0
s5935670125,Khimyong,,27.001275,95.724527,village,0,0,0,0
s5935670290,Yanman,,27.057687,95.717877,village,0,0,0,0
s6151697254,Gotnu,,26.728253,95.377309,village,0,0,0,0
s6151697255,Kamhua Noksa,,26.749893,95.358168,village,0,0,0,0
s6151697432,Mintong,,26.798704,95.303062,village,0,0,0,0
s6151697433,Longphong,,26.782357,95.289445,village,0,0,0,0
s6151697434,Bonia,,26.744691,95.263181,village,0,0,0,0
s6151697435,Pangchau,,26.725297,95.271882,town,0,0,0,0
s6270119936,Kokila,,26.975056,93.661548,village,560,1,0,0
s6270120052,Datt,,27.071445,93.631641,village,0,0,0,0
s6426787788,Longding,,26.887282,95.320301,town,0,0,0,0
s6800141402,Nokyan,,26.897961,95.257757,village,0,0,0,0
s6815349786,Gangte,,27.876705,93.894331,village,0,0,0,0
s6815349787,Yangte,,27.824347,93.625503,village,0,0,0,0
s6815349886,Tarak Lengdi,,27.770254,93.820324,village,0,0,0,0
s6815355785,Palin,,27.695143,93.630196,city,0,0,0,0
s6815418387,Giba,,28.108288,94.048591,village,0,0,0,0
s6815432585,Dumporijo,,27.980948,94.279025,town,0,0,0,0
s6815657487,Rumgong,,28.310955,94.885912,village,0,0,0,0
s6815667885,Komsing,,28.261269,95.016042,village,0,0,0,0
s6815667985,戛龙,,28.267988,94.676356,town,0,0,0,0
s6815696385,Namsing,,27.926891,95.48737,village,0,0,0,0
s6815871086,Geku,,28.423863,95.088215,village,0,0,0,0
s6815893085,Katan,,28.314695,95.15924,town,0,0,0,0
s6815893185,马里扬,,28.489967,95.214343,village,0,0,0,0
s6815895088,Mipi,,28.950424,95.814436,town,25,1,0,0
s6815926385,Anelih,,28.518138,95.779817,village,0,0,0,0
s6815949187,Hunli,,28.324556,95.961864,village,0,0,0,0
s6816012387,Goiliang,,28.145249,96.639055,town,0,0,0,0
s6816114885,Manmao,,27.246656,95.916867,village,0,0,0,0
s6876122351,Nginu,,26.843189,95.380496,village,0,0,0,0
s6876122387,Ngisa,,26.810766,95.386912,village,0,0,0,0
s6876122404,Kaimoi,,26.852517,95.416335,village,0,0,0,0
s6876126287,Khogla,,26.847406,95.450796,village,0,0,0,0
s6876126305,Wakka,,26.791585,95.447993,town,0,0,0,0
s6876126313,Chongkhao,,26.767467,95.433209,village,0,0,0,0
s6876126325,Chop,,26.746803,95.42841,village,0,0,0,0
s6876126357,Kamhua Noknu,,26.766701,95.35403,village,0,0,0,0
s6877908204,Senua,,26.899264,95.335027,village,0,0,0,0
s6877908205,Senua Camp,,26.890227,95.360707,village,0,0,0,0
s6877908235,Longkhai,,26.882337,95.405633,village,0,0,0,0
s6877930993,Kaiho,,26.80004,95.422028,village,0,0,0,0
s6877931037,Khanu,,26.765924,95.388173,village,0,0,0,0
s6877941535,Kampong,,26.722205,95.410961,village,0,0,0,0
s6877941550,Jagan,,26.707101,95.359613,village,0,0,0,0
s6877970774,Longkhao,,26.773124,95.232833,village,0,0,0,0
s6877970775,Maihua,,26.787645,95.252735,village,0,0,0,0
s6878021258,Ozakho,,26.980029,95.351823,village,0,0,0,0
s6878021259,Chattong,,27.010478,95.364805,village,0,0,0,0
s6878021283,Chopsa,,27.050588,95.353872,village,0,0,0,0
s6878024834,Longsom,,26.938478,95.30762,village,0,0,0,0
s6878562867,Pumao,,26.82491,95.238958,village,0,0,0,0
s6878562939,Chatting,,26.872556,95.269143,village,0,0,0,0
s6880492587,Longding Baptist mission centre,,26.848373,95.316703,hamlet,0,0,0,0
s6880806525,Nokfan,,27.065682,95.362645,village,0,0,0,0
s6880806576,Otongkhua,,27.085752,95.369581,village,0,0,0,0
s6880806577,Longkhojan,,27.106928,95.363138,village,0,0,0,0
s6880868446,Moktowa,,26.876123,95.442636,village,0,0,0,0
s6885126045,Wanu,,26.929614,95.257858,village,0,0,0,0
s6885127207,Banfera,,26.957478,95.226497,village,0,0,0,0
s6887922522,Longhua,,27.00351,95.239336,village,0,0,0,0
s6888318326,Kamnu,,27.007608,95.287338,village,0,0,0,0
s6888318380,Lairang Russa,,27.039604,95.276413,village,0,0,0,0
s6888318381,Russa Rimpong,,27.048414,95.278712,village,0,0,0,0
s6888332990,Lawnu,,27.094351,95.365873,town,0,0,0,0
s6888332991,Naitong,,27.089576,95.369135,village,0,0,0,0
s6888333005,Chopnu,,26.997688,95.315598,village,0,0,0,0
s6888374064,Bera,,26.953014,95.392151,village,0,0,0,0
s6891787072,Langchuk,,27.106878,95.712356,village,0,0,0,0
s6891787073,Ngechang,,27.120515,95.731735,village,0,0,0,0
s6891858886,Zongsam,,27.107014,95.740557,village,0,0,0,0
s6891858893,Bubang-II,,27.10098,95.733346,village,0,0,0,0
s6891858896,Bubang-I,,27.094193,95.733778,village,0,0,0,0
s7089595148,Shergaon,,27.129596,92.260813,village,0,0,0,0
s7089595150,Dudunghar,,27.506934,91.653008,hamlet,0,0,0,0
s7162409559,Lyngok,,27.24285,95.8885,village,0,0,0,0
s7162409561,Soha,,27.215404,95.638647,village,0,0,0,0
s7162409563,Namsang,,27.126483,95.472951,village,0,0,0,0
s7162444300,Piyong,,27.639018,95.924034,village,0,0,0,0
s7162444301,Diyun,,27.539517,96.100759,village,0,0,0,0
s7162457087,Manchal,,27.984497,96.639117,town,108,1,0,0
s7162499806,莫泊穆,,28.37626,95.271184,village,0,0,0,0
s7164389280,Segi Gusar,,28.107995,94.18048,hamlet,0,0,0,0
s7164389283,Jomlo Mobuk,,28.217706,94.820337,village,0,0,0,0
s7164389284,Bagra,,28.093486,94.745536,village,0,0,0,0
s7164488648,帕让,,27.332449,93.505089,village,0,0,0,0
s7164489287,Sangdupota,,27.043341,93.388295,village,0,0,0,0
s7164489288,Taraso,,27.003773,93.417263,hamlet,0,0,0,0
s7164489289,Balijan,,26.949215,93.497729,village,0,0,0,0
s7164489291,Gumto,,27.139316,93.797171,village,0,0,0,0
s7164489292,皮鲁 Pistana,,27.505008,93.653737,hamlet,0,0,0,0
s7164489293,Kamporijo,,27.820413,93.932505,village,0,0,0,0
s7164508036,Parsi-Parlo,,27.98957,93.513801,village,0,0,0,0
s7164508037,Sangram,,27.811503,93.532341,town,0,0,0,0
s7164508038,Nyapin,,27.751545,93.394665,village,0,0,0,0
s7164628776,Thembang,,27.341999,92.387252,town,0,0,0,0
s7164628778,Khenawa,,27.618087,93.016777,village,0,0,0,0
s7164628779,Meomey Sullong,,27.470192,93.165661,hamlet,0,0,0,0
s7164628780,Richukrong,,27.383943,92.824731,village,0,0,0,0
s7164628781,Pizirang (Veo),,27.267486,93.088016,village,0,0,0,0
s7164628782,Seijosa,,26.959046,93.011348,village,0,0,0,0
s7164649886,Kangku,,27.565009,94.460492,village,0,0,0,0
s7227071016,Tutnu,,26.963732,95.633586,village,0,0,0,0
s7227071045,Thungjang,,26.963899,95.660729,village,0,0,0,0
s7406558618,Saleriang,,27.78546,93.320125,hamlet,0,0,0,0
s7406558622,Malo,,27.749208,93.3603,hamlet,0,0,0,0
s7406558624,Taris,,27.735841,93.348772,village,0,0,0,0
s7406558625,Raris,,27.768085,93.314627,hamlet,0,0,0,0
s7623754181,Gossang,,28.613619,95.018917,village,0,0,0,0
s7623754454,Lissing,,28.503507,94.802141,hamlet,0,0,0,0
s7623754725,Yibuk,,28.377261,94.78983,village,0,0,0,0
s7623754797,Sale,,28.153126,95.022265,village,0,0,0,0
s7623754815,Yemsing,,28.104361,95.004519,village,0,0,0,0
s7623945423,Likor,,28.826788,94.895546,village,0,0,0,0
s7623945567,Pushi Doke,,28.050621,94.710817,village,0,0,0,0
s7623945568,Bagra Tapku,,28.084476,94.774568,village,0,0,0,0
s7623966497,Durhati,,28.129957,94.784524,village,0,0,0,0
s7630041908,Lasak Cheda,,27.553719,93.190273,hamlet,0,0,0,0
s7630041909,Jotte Cheda,,27.551422,93.14474,village,0,0,0,0
s7630041910,Lochung,,27.527597,93.066634,hamlet,0,0,0,0
s7630041944,Fiago,,27.609455,93.121807,hamlet,0,0,0,0
s7630041945,Doka,,27.582166,93.133555,hamlet,0,0,0,0
s7630041969,Chege,,27.570169,93.105628,village,0,0,0,0
s7630041970,Bokar,,27.540644,93.094604,village,0,0,0,0
s7630047192,Attarang,,27.470582,93.047419,village,0,0,0,0
s7630047238,Rokjiwa,,27.440193,93.014696,village,0,0,0,0
s7630047239,Loffa,,27.394174,93.001027,village,0,0,0,0
s7630047240,Tassomiora,,27.385953,93.078436,village,0,0,0,0
s7630047291,Serewa,,27.40228,93.104335,hamlet,0,0,0,0
s7630047292,Chudda,,27.414591,93.116335,hamlet,0,0,0,0
s7630047339,Dokre,,27.474152,93.134907,hamlet,0,0,0,0
s7630047471,Laimoya,,27.415548,93.082566,hamlet,0,0,0,0
s7630073144,Weshy,,27.449333,93.002465,village,0,0,0,0
s7630073182,Tallong,,27.467517,93.014299,village,0,0,0,0
s7630073222,Recha,,27.436327,92.995663,village,0,0,0,0
s7630073249,Kamsa,,27.418005,92.985916,hamlet,0,0,0,0
s7630140630,Jomoh,,27.657398,92.998581,hamlet,0,0,0,0
s7630140643,Krema Pao,,27.65793,93.050809,hamlet,0,0,0,0
s7630140644,Mangfi Mangam,,27.644074,93.072492,village,0,0,0,0
s7630140661,Pangia,,27.633391,93.015876,hamlet,0,0,0,0
s7630140676,Pordung,,27.606545,93.018429,hamlet,0,0,0,0
s8320642117,Yorkodom,,28.815061,94.255967,village,0,0,0,0
s8320642121,Remang,,28.785516,94.281524,hamlet,0,0,0,0
s8320642124,Pongte,,28.735283,94.278212,hamlet,0,0,0,0
s8320642128,Sijak,,28.688705,94.297714,hamlet,0,0,0,0
s8397020398,Rashik,,28.008061,93.550848,hamlet,0,0,0,0
s8397020456,Nyokuriang,,28.006235,93.562203,village,0,0,0,0
s8888629061,Aningo,,28.621996,95.917248,hamlet,0,0,0,0
s8888629067,Arope,,28.631323,95.938997,village,0,0,0,0
s8910386476,Thamptong 266699,,28.067898,96.519264,hamlet,23,1,0,0
s8910562096,Lundong,,28.037954,96.580722,hamlet,0,0,0,0
s8910562111,Khuiliang 266751,,28.039083,96.604249,village,97,1,0,0
s8910565124,Tummla,,28.047466,96.582792,village,49,1,0,0
s8910565138,Kongra,,28.069586,96.573586,hamlet,28,1,0,0
s8910838653,Tehuliang,,28.032013,96.620568,village,161,1,0,0
s8910838664,Kanning,,28.044145,96.610013,village,62,1,0,0
s8910849210,Qunboo,,28.002649,96.564959,hamlet,46,1,0,0
s8910867493,Cheretong,,28.036549,96.611254,hamlet,36,1,0,0
s8910881676,Towan Gong,,28.001225,96.579884,hamlet,41,1,0,0
s8910887521,Zong,,28.013573,96.598397,hamlet,36,1,0,0
s8910887534,Chutong,,27.991769,96.57523,hamlet,16,1,0,0
s8911547475,Ekailing,,27.999236,96.612608,hamlet,69,1,0,0
s8912090266,Amliang,,28.058679,96.468836,village,336,1,0,0
s8912257106,Kambing,,27.990357,96.633064,hamlet,54,1,0,0
s8912272725,Towa,,27.990367,96.641442,hamlet,55,1,0,0
s8912287294,Klumliang,,28.048316,96.611421,hamlet,16,1,0,0
s8912362835,Khupa Village 266673,,28.077139,96.473667,village,330,1,0,0
s8912541076,Barafu,,28.101701,96.558488,village,80,1,0,0
s8912541085,Adomla,,28.113536,96.537511,hamlet,48,1,0,0
s8912541096,Tikromna,,28.118238,96.544781,hamlet,23,1,0,0
s8912680152,Paluliang,,28.116774,96.570636,hamlet,22,1,0,0
s8912680164,Tuboka,,28.12223,96.554294,hamlet,25,1,0,0
s8912680165,Chamemla,,28.128674,96.562027,hamlet,46,1,0,0
s8912680176,Tololiang,,28.125664,96.547808,hamlet,53,1,0,0
s8912699143,Blom,,28.07836,96.587603,hamlet,16,1,0,0
s8916159635,Khalega,,28.280648,96.571864,village,26,1,0,0
s8916159645,Chipra,,28.268734,96.564114,village,35,1,0,0
s8917805836,Tafraliang,,28.08864,96.452969,village,164,1,0,0
s8917805847,Hoiliang 266714,,28.098129,96.447887,hamlet,122,1,0,0
s8918183271,Langjon,,28.053427,96.458697,village,0,0,0,0
s8918183280,Chingraliang 266703,,28.046055,96.483572,hamlet,41,1,0,0
s8918183289,Khorlang,,28.025795,96.487329,hamlet,22,1,0,0
s8918183299,Huiliang,,28.018057,96.483983,hamlet,3,1,0,0
s8918212448,Luguthang,,27.594823,92.185747,village,58,1,0,0
s8921179486,Matiliang 266674,,28.107607,96.445203,hamlet,20,1,0,0
s8921179488,Chirang 266667,,28.068424,96.40695,hamlet,109,1,0,0
s8921181218,Chillang,,28.035647,96.422702,village,12,1,0,0
s8921181248,Karangliang,,28.032885,96.461915,village,77,1,0,0
s8923715928,Takaliang,,28.019069,96.416079,hamlet,14,1,0,0
s8923715929,Machinla 266715,,27.999899,96.405821,village,102,1,0,0
s8923715940,Dingliang,,27.991131,96.416796,village,17,1,0,0
s8924617539,Mologam,,27.996089,96.384391,hamlet,5,1,0,0
s8924617551,Chiphugam 266713,,28.01277,96.401432,hamlet,23,1,0,0
s8924617560,Kibom,,27.980734,96.423938,hamlet,11,1,0,0
s8924617572,Rahagam,,27.987321,96.44036,village,70,1,0,0
s8925149161,Talang,,28.084079,96.582092,hamlet,10,1,0,0
s8925149162,Kasaigam,,28.046624,96.607915,village,38,1,0,0
s8925149193,Khorolang,,28.054321,96.616,hamlet,22,1,0,0
s8925149204,Matong,,28.05939,96.618103,hamlet,17,1,0,0
s8925149205,Supnung,,28.057196,96.618247,village,177,1,0,0
s8925204054,Mele 266697,,28.053316,96.54702,hamlet,19,1,0,0
s8927916200,Yakitato,,28.375095,94.680069,village,227,1,0,0
s8927916215,Keak,,28.375135,94.685827,village,110,1,0,0
s8930042194,Hot Spring,,28.292897,97.163858,hamlet,4,1,0,0
s8930301829,Yakung,,28.199753,97.026347,village,64,1,0,0
s9049803066,Jote,,27.042104,93.463715,village,0,0,0,0
s9065019565,Supkung,,28.158881,97.036371,hamlet,23,1,0,0
s9067089799,Old Tupi,,26.985297,95.45176,village,0,0,0,0
s9067097720,Longo,,26.980521,95.419082,village,0,0,0,0
s9067097733,Luthong,,27.005554,95.470382,village,0,0,0,0
s9067097782,Lapnan,,26.991687,95.482412,village,0,0,0,0
s9067097843,Thincha,,26.943485,95.517064,village,0,0,0,0
s9069006872,Noksa,,26.999207,95.440217,village,0,0,0,0
s9069013368,Paniduria,,27.023016,95.426862,village,0,0,0,0
s9069013420,Kheti,,26.960653,95.509878,village,0,0,0,0
s9069013460,Kaimai,,27.038302,95.496251,village,0,0,0,0
s9069013508,Borduria,,27.029311,95.475707,village,0,0,0,0
s9069029695,Khela,,27.016971,95.534642,village,0,0,0,0
s9069039028,Wathin,,27.045126,95.547623,village,0,0,0,0
s9069039081,Lamsa,,27.031034,95.564258,village,0,0,0,0
s9069039119,New Bunting,,26.999518,95.540749,village,0,0,0,0
s9069039167,Old Bunting,,26.990194,95.54286,village,0,0,0,0
s9069241135,Makantong,,27.039772,95.730805,village,0,0,0,0
s9069241451,Kolagaon,,27.113193,95.668508,village,0,0,0,0
s9069241468,Laiwang,,27.102348,95.648714,village,0,0,0,0
s9069241489,Lanwang,,27.087806,95.614626,village,0,0,0,0
s9069241490,Old Katang,,27.057609,95.593734,village,0,0,0,0
s9072632823,Soha,,27.144418,95.561878,village,0,0,0,0
s9072632832,Barak,,27.18454,95.599273,village,0,0,0,0
s9072633042,Makat,,27.113667,95.522089,village,0,0,0,0
s9072633323,Sipini Pathar,,27.099581,95.469227,village,0,0,0,0
s9072776034,Ngointhong,,27.108296,95.592643,village,0,0,0,0
s9072777610,Turet,,27.139838,95.591183,village,0,0,0,0
s9073126191,Bubang-III,,27.129934,95.735233,village,0,0,0,0
s9074282496,Tengman,,27.227607,95.948114,village,0,0,0,0
s9102517106,Yashong Camp,,27.975259,96.96867,hamlet,89,1,0,0
s9102517395,Gai,,27.91679,96.94687,hamlet,29,1,0,0
s9102517409,Khrawit,,27.90447,96.943739,hamlet,22,1,0,0
s9112227266,Eranli,,28.596158,95.810621,hamlet,11,1,0,0
s9112239709,Arunli,,28.618959,95.750685,hamlet,10,1,0,0
s9112239903,兰里,,28.621101,95.733642,hamlet,12,1,0,0
s9112240014,阿包里,,28.652425,95.700575,hamlet,25,1,0,0
s9112240183,阿尔林,,28.682562,95.656536,hamlet,12,1,0,0
s9112240186,前里,,28.671053,95.670034,hamlet,8,1,0,0
s9159632834,Akhunli,,28.668513,96.059513,hamlet,0,0,0,0
s9159632845,Athunli,,28.657518,96.021839,village,61,1,0,0
